date,time,address,type,neighborhood,npu,x,y
01/01/2015,02:00:00                      ,1097 HARWELL RD NW @BLUE FLAME,ROBBERY-PEDESTRIAN,Collier Heights,I,-84.4911,33.7852
01/01/2015,02:15:00                      ,255 COURTLAND ST NE,AGG ASSAULT,Downtown,M,-84.38406,33.76139
01/01/2015,02:48:00                      ,133 BUCHANAN LN SE,ROBBERY-PEDESTRIAN,South Atlanta,Y,-84.38374,33.7173
01/01/2015,03:00:00                      ,550 PEACHTREE ST NE,AGG ASSAULT,Downtown,M,-84.38554,33.76929
01/01/2015,04:30:00                      ,445 CAPITOL AVE SW,AGG ASSAULT,Summerhill,V,-84.38909,33.74245
01/01/2015,05:40:00                      ,507 LAKESIDE VILLAGE DR SE,BURGLARY-RESIDENCE,The Villages at East Lake,O,-84.31669,33.74584
01/01/2015,05:40:00                      ,508 LAKESIDE VILLAGE DR SE,BURGLARY-RESIDENCE,The Villages at East Lake,O,-84.3165,33.74577
01/01/2015,06:30:00                      ,1080 COLQUITT AVE NE,LARCENY-NON VEHICLE,Old Fourth Ward,M,-84.37191,33.76728
01/01/2015,08:00:00                      ,2590 WOODWARD WAY NW,LARCENY-NON VEHICLE,Peachtree Battle Alliance,C,-84.39625,33.82606
01/01/2015,08:00:00                      ,1358 PLAZA AVE SW,BURGLARY-RESIDENCE,Bush Mountain,S,-84.43217,33.72789
01/01/2015,08:00:00                      ,477 WINDSOR ST SW @DUNBAR COMM CENTER,BURGLARY-NONRES,Mechanicsville,V,-84.39941,33.74129
01/01/2015,08:18:00                      ,3513 PARC CIR SW,AGG ASSAULT,Southwest,R,-84.4975,33.69867
01/01/2015,09:00:00                      ,234 8TH ST NE,LARCENY-FROM VEHICLE,Midtown,E,-84.3794,33.77961
01/01/2015,09:00:00                      ,80 JESSE HILL JR DR SE ,LARCENY-NON VEHICLE,Downtown,M,-84.38103,33.75369
01/01/2015,10:00:00                      ,238 WALKER ST SW,LARCENY-NON VEHICLE,Castleberry Hill,M,-84.40256,33.74821
01/01/2015,10:00:00                      ,115 HILLIARD ST SE,AUTO THEFT,Sweet Auburn,M,-84.37677,33.75141
01/01/2015,10:04:00                      ,1389 PLAZA AVE SW,BURGLARY-RESIDENCE,Bush Mountain,S,-84.43319,33.72832
01/01/2015,10:15:00                      ,605 BOULEVARD NE,LARCENY-NON VEHICLE,Old Fourth Ward,M,-84.3714,33.77097
01/01/2015,11:51:00                      ,1380 ATLANTIC DR NW,LARCENY-NON VEHICLE,Atlantic Station,E,-84.3975,33.79293
01/01/2015,12:00:00                      ,3218 VANDERBILT LN NW,BURGLARY-RESIDENCE,Collier Heights,I,-84.49285,33.77521
01/01/2015,12:00:00                      ,3110 DELMAR LN NW,BURGLARY-RESIDENCE,NULL,I,-84.48909,33.75552
01/01/2015,12:00:00                      ,295 PETERS ST SW,LARCENY-FROM VEHICLE,Castleberry Hill,M,-84.40285,33.74667
01/01/2015,12:00:00                      ,464 BOULEVARD NE,LARCENY-NON VEHICLE,Old Fourth Ward,M,-84.37227,33.76702
01/01/2015,12:00:00                      ,1057 BOULEVARD DR SE,BURGLARY-RESIDENCE,Reynoldstown,N,-84.35235,33.75369
01/01/2015,12:00:00                      ,2430 MAXWELL DR SW,BURGLARY-RESIDENCE,Greenbriar,R,-84.48273,33.69154
01/01/2015,12:00:00                      ,1298 WESTRIDGE RD SW,LARCENY-NON VEHICLE,Venetian Hills,S,-84.44659,33.71986
01/01/2015,12:00:00                      ,1899 BRANDYWINE ST SW,LARCENY-FROM VEHICLE,Sylvan Hills,X,-84.4174,33.70298
01/01/2015,12:30:00                      ,183 MOUNT ZION RD SE,BURGLARY-RESIDENCE,Glenrose Heights,Z,-84.38507,33.67268
01/01/2015,12:41:00                      ,900 JOSEPH E BOONE BLVD NW,LARCENY-NON VEHICLE,Vine City,L,-84.41688,33.76337
01/01/2015,14:15:00                      ,265 PARK AVE. WEST,LARCENY-NON VEHICLE,Downtown,M,-84.39496,33.76208
01/01/2015,14:36:00                      ,3500 PEACHTREE RD NE @PHIPPS PLAZA,LARCENY-FROM VEHICLE,North Buckhead,B,-84.36278,33.85302
01/01/2015,15:49:00                      ,1801 HOWELL MILL RD NW,LARCENY-NON VEHICLE,Berkeley Park,D,-84.41348,33.80448
01/01/2015,16:00:00                      ,918 MARIETTA BLVD NW,LARCENY-FROM VEHICLE,Knight Park/Howell Station,K,-84.42959,33.78067
01/01/2015,16:00:00                      ,210 PEACHTREE ST NW ,LARCENY-FROM VEHICLE,Downtown,M,-84.38837,33.75943
01/01/2015,16:15:00                      ,2399 PARKLAND DR NE,ROBBERY-PEDESTRIAN,Lindbergh/Morosgo,B,-84.36425,33.81948
01/01/2015,16:30:00                      ,3348 WARD DR SW,BURGLARY-RESIDENCE,Glenrose Heights,Z,-84.39138,33.66657
01/01/2015,16:30:00                      ,920 MEMORIAL DR SE,ROBBERY-RESIDENCE,Reynoldstown,N,-84.35732,33.74708
01/01/2015,17:30:00                      ,3660 CAMP CREEK PKWY SW,AUTO THEFT,Princeton Lakes,P,-84.50787,33.65486
01/01/2015,17:50:00                      ,1241 MORELAND AVE SE @SUNSHINE PLAZA SC,LARCENY-NON VEHICLE,Woodland Hills,W,-84.35045,33.72055
01/01/2015,18:00:00                      ,2143 PEACHTREE RD NE,LARCENY-FROM VEHICLE,NULL,E,-84.39195,33.81262
01/01/2015,18:00:00                      ,2980 DONALD LEE HOLLOWELL PKWY NW,LARCENY-NON VEHICLE,Collier Heights,I,-84.48532,33.78153
01/01/2015,18:00:00                      ,180 JACKSON ST NE,AUTO THEFT,Sweet Auburn,M,-84.37442,33.75932
01/01/2015,18:00:00                      ,743 PEEPLES ST SW,AUTO THEFT,West End,T,-84.42072,33.73468
01/01/2015,18:00:00                      ,835 OGLETHORPE AVE SW,AUTO THEFT,West End,T,-84.41564,33.73592
01/01/2015,18:00:00                      ,320 CONNALLY ST SE,ROBBERY-PEDESTRIAN,Capitol Gateway,V,-84.38143,33.7453
01/01/2015,19:00:00                      ,336 SIMPSON TER NW,BURGLARY-RESIDENCE,Grove Park,J,-84.44763,33.76432
01/01/2015,19:00:00                      ,422 SINCLAIR AVE NE,AUTO THEFT,Inman Park,N,-84.35281,33.76597
01/01/2015,19:00:00                      ,1025 RALPH D ABERNATHY BLVD SW,LARCENY-NON VEHICLE,West End,T,-84.42136,33.73845
01/01/2015,19:00:00                      ,1620 HOLLYWOOD RD NW ,BURGLARY-RESIDENCE,Scotts Crossing,G,-84.47246,33.79898
01/01/2015,19:05:00                      ,76 4TH ST NW,LARCENY-FROM VEHICLE,Midtown,E,-84.38975,33.77487
01/01/2015,19:30:00                      ,1776 CHESHIRE BRIDGE RD,LARCENY-FROM VEHICLE,Morningside/Lenox Park,F,-84.36471,33.80875
01/01/2015,19:55:00                      ,1063 SEABOARD AVE NE,ROBBERY-PEDESTRIAN,Reynoldstown,N,-84.35199,33.75739
01/01/2015,20:00:00                      ,529 PEACHTREE ST NE,LARCENY-FROM VEHICLE,Downtown,M,-84.38487,33.76896
01/01/2015,20:00:00                      ,226 COURTLAND ST NE,LARCENY-FROM VEHICLE,Downtown,M,-84.38429,33.76051
01/01/2015,20:00:00                      ,1644 DERRY AVE SW,LARCENY-FROM VEHICLE,Westview,T,-84.44153,33.74325
01/01/2015,20:00:00                      ,3393 PEACHTREE RD NE ,LARCENY-FROM VEHICLE,Lenox,B,-84.36212,33.84676
01/01/2015,20:00:00                      ,2184 CHESHIRE BRIDGE RD NE,LARCENY-FROM VEHICLE,Lindridge/Martin Manor,F,-84.35375,33.8145
01/01/2015,20:00:00                      ,529 PEACHTREE ST NE,LARCENY-FROM VEHICLE,Downtown,M,-84.38487,33.76896
01/01/2015,20:02:00                      ,3030 CONTINENTAL COLONY PKWY SW,BURGLARY-RESIDENCE,Greenbriar,R,-84.49371,33.68066
01/01/2015,20:30:00                      ,794 JUNIPER STREET,AUTO THEFT,Midtown,E,-84.38319,33.7762
01/01/2015,20:30:00                      ,889 W PEACHTREE ST NE,LARCENY-FROM VEHICLE,Midtown,E,-84.38717,33.77889
01/01/2015,21:00:00                      ,420 14TH ST NW,LARCENY-FROM VEHICLE,Home Park,E,-84.40086,33.78593
01/01/2015,21:00:00                      ,2800 MARTIN L KING JR DR SW,AUTO THEFT,Harland Terrace,I,-84.47971,33.75413
01/01/2015,21:00:00                      ,173 WELLINGTON ST SW,LARCENY-FROM VEHICLE,Mozley Park,K,-84.43857,33.75043
01/01/2015,22:00:00                      ,37 DELTA PL NE,AUTO THEFT,Inman Park,N,-84.35907,33.75527
01/01/2015,23:00:00                      ,1729 EMERALD AVE SW,LARCENY-FROM VEHICLE,Westview,T,-84.44438,33.74232
01/01/2015,23:00:00                      ,765 MCDANIEL ST SW,AUTO THEFT,Pittsburgh,V,-84.40177,33.73396
01/01/2015,23:00:00                      ,74 ANDREW YOUNG INTERNA BLVD NE,LARCENY-FROM VEHICLE,Downtown,M,-84.38505,33.75976
01/01/2015,23:30:00                      ,467 EDGEWOOD AVE NE,LARCENY-NON VEHICLE,Old Fourth Ward,M,-84.37215,33.7543
01/01/2015,23:45:00                      ,3330 MARTIN L KING JR DR SW,LARCENY-NON VEHICLE,Adamsville,H,-84.49736,33.75392
01/01/2015,23:55:00                      ,3330 MARTIN LUTHER KING JR,ROBBERY-PEDESTRIAN,Adamsville,H,-84.49736,33.75392
01/02/2015,00:00:00                      ,3280 NORTHSIDE PKWY NW,AUTO THEFT,NULL,C,-84.42602,33.84481
01/02/2015,00:00:00                      ,304 HENRY AARON AVE SW,BURGLARY-RESIDENCE,Florida Heights,I,-84.45703,33.74739
01/02/2015,00:01:00                      ,230 10TH ST NE ,LARCENY-FROM VEHICLE,Midtown,E,-84.37981,33.78187
01/02/2015,00:10:00                      ,164 LAUREL AVE SW,LARCENY-FROM VEHICLE,Mozley Park,K,-84.44002,33.75066
01/02/2015,00:40:00                      ,3465 BUCKHEAD LOOP NE,ROBBERY-PEDESTRIAN,North Buckhead,B,-84.36336,33.85134
01/02/2015,01:30:00                      ,1425 PINEHURST DR SW,LARCENY-FROM VEHICLE,Venetian Hills,S,-84.45196,33.71672
01/02/2015,02:00:00                      ,81 CHICAMAUGA AVE SW,AUTO THEFT,Mozley Park,K,-84.43245,33.75289
01/02/2015,03:00:00                      ,401 16TH ST NW,LARCENY-FROM VEHICLE,Atlantic Station,E,-84.40125,33.78888
01/02/2015,03:00:00                      ,1492 PIEDMONT AVE NE @CLUB COLORS,LARCENY-NON VEHICLE,Piedmont Heights,F,-84.37025,33.79592
01/02/2015,03:01:00                      ,1400 NORTHSIDE DR NW ,LARCENY-FROM VEHICLE,Berkeley Park,D,-84.40821,33.79289
01/02/2015,03:20:00                      ,3819 JONESBORO RD SE,LARCENY-FROM VEHICLE,South River Gardens,Z,-84.36718,33.65025
01/02/2015,04:30:00                      ,1888 PEACHTREE RD NW,LARCENY-NON VEHICLE,Ardmore,E,-84.39432,33.80648
01/02/2015,06:00:00                      ,1660 DONALD LEE HOLLOWELL PKWY NW,BURGLARY-NONRES,Grove Park,J,-84.44238,33.77267
01/02/2015,06:30:00                      ,1041 W PEACHTREE ST NE,LARCENY-FROM VEHICLE,Midtown,E,-84.38746,33.78306
01/02/2015,07:24:00                      ,468 WILSON MILL RD SW,AUTO THEFT,Wilson Mill Meadows,H,-84.51655,33.74932
01/02/2015,08:00:00                      ,3101 HOWELL MILL RD NW,LARCENY-NON VEHICLE,NULL,C,-84.42556,33.83977
01/02/2015,08:00:00                      ,674 WATERFORD RD NW,BURGLARY-RESIDENCE,Collier Heights,I,-84.48683,33.77145
01/02/2015,08:00:00                      ,180 JACKSON ST NE @CAMDEN VANTAGE APTS,LARCENY-FROM VEHICLE,Sweet Auburn,M,-84.37503,33.7593
01/02/2015,08:00:00                      ,1409 KENILWORTH DR SW,LARCENY-NON VEHICLE,Venetian Hills,S,-84.43445,33.71654
01/02/2015,09:30:00                      ,300 SPRING ST NW @ALOFT,LARCENY-FROM VEHICLE,Downtown,M,-84.38962,33.76263
01/02/2015,09:45:00                      ,305 JOSEPH E LOWERY BLVD NW,LARCENY-NON VEHICLE,Vine City,L,-84.41736,33.763
01/02/2015,10:00:00                      ,3850 JONESBORO RD SE @EXPOSITION CENTER,LARCENY-FROM VEHICLE,South River Gardens,Z,-84.36362,33.65088
01/02/2015,10:06:00                      ,214 COLONIAL HOMES DR NW,AGG ASSAULT,Colonial Homes,C,-84.39454,33.81392
01/02/2015,10:30:00                      ,3850 STONE RD SW,LARCENY-FROM VEHICLE,NULL,P,-84.51105,33.68437
01/02/2015,10:58:00                      ,1933 MORELAND AVE SE,AUTO THEFT,Thomasville Heights,Z,-84.34998,33.70169
01/02/2015,12:00:00                      ,2519 CHANTILLY DR NE,BURGLARY-NONRES,Lindridge/Martin Manor,F,-84.35057,33.82369
01/02/2015,12:00:00                      ,644 PROVIDENCE PL SW,BURGLARY-RESIDENCE,Mays,H,-84.50469,33.74255
01/02/2015,12:00:00                      ,554 PIEDMONT AVE NE,LARCENY-NON VEHICLE,Downtown,M,-84.38232,33.76967
01/02/2015,12:00:00                      ,1114 RENAISSANCE WAY NE,LARCENY-NON VEHICLE,Old Fourth Ward,M,-84.37833,33.76666
01/02/2015,12:00:00                      ,116 SISSON AVE NE,BURGLARY-RESIDENCE,Kirkwood,O,-84.31499,33.75539
01/02/2015,12:30:00                      ,1572 HARDEE ST NE,BURGLARY-RESIDENCE,Edgewood,O,-84.33644,33.75546
01/02/2015,13:10:00                      ,218 EDGEWOOD AVE NE,AGG ASSAULT,Downtown,M,-84.3805,33.75452
01/02/2015,13:50:00                      ,1465 CHATTAHOOCHEE AVE NW,AGG ASSAULT,Underwood Hills,D,-84.43494,33.80787
01/02/2015,14:00:00                      ,1572 HARDEE ST NE ,BURGLARY-RESIDENCE,Edgewood,O,-84.33647,33.75589
01/02/2015,14:00:00                      ,1572 HARDEE ST NE,BURGLARY-RESIDENCE,Edgewood,O,-84.33644,33.75546
01/02/2015,14:20:00                      ,1225 CAROLINE ST NE,LARCENY-NON VEHICLE,Edgewood,O,-84.34813,33.75605
01/02/2015,14:30:00                      ,920 MURPHY AVE SW,AUTO THEFT,Adair Park,V,-84.41434,33.72952
01/02/2015,14:30:00                      ,125 WESLEY AVE NE,AGG ASSAULT,Edgewood,O,-84.33724,33.75708
01/02/2015,14:52:00                      ,325 SISSON AVE NE,BURGLARY-RESIDENCE,Kirkwood,O,-84.31446,33.76264
01/02/2015,15:00:00                      ,3393 PEACHTREE RD NE @LENOX MALL,LARCENY-NON VEHICLE,Lenox,B,-84.36212,33.84676
01/02/2015,15:00:00                      ,1957 BAKER RD NW,BURGLARY-RESIDENCE,Grove Park,J,-84.45089,33.77095
01/02/2015,15:00:00                      ,5 STAFFORD ST NW,AUTO THEFT,Hunter Hills,K,-84.42594,33.75507
01/02/2015,15:00:00                      ,1881 VALLEY RIDGE DR SW,AUTO THEFT,Heritage Valley,P,-84.50263,33.70432
01/02/2015,15:00:00                      ,3381 GREENBRIAR PKWY SW,LARCENY-NON VEHICLE,NULL,P,-84.50216,33.68403
01/02/2015,15:00:00                      ,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,AUTO THEFT,Greenbriar,R,-84.49328,33.68845
01/02/2015,15:00:00                      ,3393 PEACHTREE RD,LARCENY-FROM VEHICLE,Lenox,B,-84.36212,33.84676
01/02/2015,15:30:00                      ,1040 HUFF RD NW,AUTO THEFT,Blandtown,D,-84.42125,33.78949
01/02/2015,16:00:00                      ,210 PEACHTREE ST NW,LARCENY-NON VEHICLE,Downtown,M,-84.38769,33.75946
01/02/2015,16:20:00                      ,1731 BRAEBURN DR SE,BURGLARY-RESIDENCE,East Atlanta,W,-84.33103,33.73479
01/02/2015,16:45:00                      ,2625 PIEDMONT RD NE ,LARCENY-NON VEHICLE,Lindbergh/Morosgo,B,-84.36532,33.82742
01/02/2015,17:00:00                      ,2986 CAMPBELLTON RD SW,AUTO THEFT,Southwest,R,-84.48556,33.69621
01/02/2015,17:00:00                      ,230 18TH ST NW,LARCENY-FROM VEHICLE,Atlantic Station,E,-84.39554,33.79212
01/02/2015,17:10:00                      ,840 MARIETTA ST NW,LARCENY-FROM VEHICLE,Marietta Street Artery,E,-84.40691,33.77522
01/02/2015,17:40:00                      ,2591 PIEDMONT RD,LARCENY-FROM VEHICLE,Lindbergh/Morosgo,B,-84.36706,33.82543
01/02/2015,17:45:00                      ,2415 COUNTY LINE RD SW,AUTO THEFT,Fairway Acres,P,-84.53434,33.68919
01/02/2015,18:00:00                      ,855 PEACHTREE ST NE,LARCENY-FROM VEHICLE,Midtown,E,-84.38389,33.77798
01/02/2015,18:00:00                      ,3201 WESTPORT WAY SW,LARCENY-FROM VEHICLE,NULL,I,-84.49108,33.74434
01/02/2015,18:00:00                      ,3050 MARTIN L KING JR DR SW,LARCENY-FROM VEHICLE,Harland Terrace,I,-84.4857,33.75177
01/02/2015,18:00:00                      ,1870 GLENVIEW DR SW,LARCENY-FROM VEHICLE,Heritage Valley,P,-84.49908,33.70454
01/02/2015,18:05:00                      ,3450 FORREST PARK RD SE,BURGLARY-RESIDENCE,South River Gardens,Z,-84.35549,33.66061
01/02/2015,18:45:00                      ,3176 ESPLANADE CIR SW,LARCENY-FROM VEHICLE,Southwest,R,-84.49316,33.70524
01/02/2015,19:00:00                      ,685 11TH ST NW,LARCENY-FROM VEHICLE,Home Park,E,-84.40974,33.78332
01/02/2015,19:00:00                      ,1572 HARDEE ST NE,BURGLARY-RESIDENCE,Edgewood,O,-84.33292,33.7581
01/02/2015,19:00:00                      ,1959 METROPOLITAN PKWY SW,AUTO THEFT,Sylvan Hills,X,-84.41018,33.7008
01/02/2015,19:30:00                      ,1470 ANDREWS ST NW,LARCENY-FROM VEHICLE,Hunter Hills,K,-84.4361,33.76
01/02/2015,19:30:00                      ,640 IRWIN ST NE,LARCENY-FROM VEHICLE,Old Fourth Ward,M,-84.36605,33.75774
01/02/2015,20:00:00                      ,1356 CHATTAHOOCHEE AVE,LARCENY-FROM VEHICLE,Hills Park,D,-84.43238,33.80231
01/02/2015,20:30:00                      ,98 ELLIS ST NE,LARCENY-FROM VEHICLE,Downtown,M,-84.38391,33.75847
01/02/2015,20:30:00                      ,237 GEORGIA AVE SE,AUTO THEFT,Summerhill,V,-84.37997,33.73651
01/02/2015,20:44:00                      ,3113 CAMPBELLTON RD SW,LARCENY-FROM VEHICLE,Southwest,R,-84.49098,33.69261
01/02/2015,21:00:00                      ,1521 PEACHTREE ST NE,AUTO THEFT,Midtown,E,-84.38745,33.79607
01/02/2015,21:00:00                      ,439 W LAKE AVE NW,AUTO THEFT,Grove Park,J,-84.4407,33.76745
01/02/2015,21:30:00                      ,2045 BAKER RD NW,AUTO THEFT,Grove Park,J,-84.45414,33.77011
01/02/2015,21:30:00                      ,300 MARTIN L KING JR DR SE,AUTO THEFT,Oakland,W,-84.37875,33.74803
01/02/2015,22:00:00                      ,370 NORTHSIDE DR NW,LARCENY-FROM VEHICLE,English Avenue,L,-84.4042,33.76507
01/02/2015,22:00:00                      ,1067 MEMORIAL DR SE,BURGLARY-NONRES,Reynoldstown,N,-84.35217,33.74583
01/02/2015,22:00:00                      ,369 MCDANIEL ST SW,LARCENY-FROM VEHICLE,The Villages at Castleberry H,T,-84.40523,33.74505
01/02/2015,22:12:00                      ,1935 ALISON CT SW @FRANCISCAN CLUB APT,AUTO THEFT,Fort Valley,R,-84.45148,33.70094
01/02/2015,23:30:00                      ,265 PEACHTREE CENTER AVE NE,LARCENY-FROM VEHICLE,Downtown,M,-84.38496,33.76158
01/02/2015,NULL,1375 NORTHSIDE DR NW,HOMICIDE,Loring Heights,E,-84.40774,33.79215
01/03/2015,00:00:00                      ,747 RALPH MCGILL BLVD NE,AUTO THEFT,Old Fourth Ward,M,-84.36263,33.76674
01/03/2015,00:00:00                      ,280 RICHARDSON ST SW,ROBBERY-PEDESTRIAN,Mechanicsville,V,-84.39672,33.74065
01/03/2015,00:01:00                      ,119 PHARR RD NW,BURGLARY-RESIDENCE,Peachtree Heights West,B,-84.38533,33.8368
01/03/2015,00:01:00                      ,226 COURTLAND ST NE,LARCENY-FROM VEHICLE,Downtown,M,-84.38429,33.76051
01/03/2015,00:01:00                      ,314 ELMIRA PL NE,AUTO THEFT,Candler Park,N,-84.34719,33.76294
01/03/2015,00:05:00                      ,1200 SPRING ST NW,LARCENY-FROM VEHICLE,Midtown,E,-84.3896,33.78741
01/03/2015,00:30:00                      ,505 FULTON ST SW,LARCENY-NON VEHICLE,Mechanicsville,V,-84.40427,33.74108
01/03/2015,00:30:00                      ,1138 HAWTHORNE ST NE,LARCENY-FROM VEHICLE,Reynoldstown,N,-84.35045,33.7547
01/03/2015,01:00:00                      ,3041 LANDRUM DR SW,AUTO THEFT,Southwest,R,-84.48782,33.70649
01/03/2015,01:00:00                      ,2840 CAMPBELLTON RD SW,AGG ASSAULT,Campbellton Road,R,-84.48149,33.69937
01/03/2015,01:14:00                      ,3800 PRINCETON LAKES PKWY SW,ROBBERY-COMMERCIAL,Princeton Lakes,P,-84.51327,33.65635
01/03/2015,02:15:00                      ,1963 HOWELL MILL RD NW,LARCENY-FROM VEHICLE,Channing Valley,C,-84.41267,33.8084
01/03/2015,02:20:00                      ,1963 HOWELL MILL RD NW,BURGLARY-NONRES,Channing Valley,C,-84.41267,33.8084
01/03/2015,02:30:00                      ,428 PONCE DE LEON AVE NE,LARCENY-NON VEHICLE,Midtown,E,-84.37336,33.77333
01/03/2015,02:30:00                      ,628 WHITEHALL ST SW,ROBBERY-PEDESTRIAN,Adair Park,V,-84.40816,33.74217
01/03/2015,04:00:00                      ,2089 COUNTY LINE RD SW,LARCENY-NON VEHICLE,NULL,P,-84.536,33.698
01/03/2015,04:30:00                      ,49 BOULEVARD SE,BURGLARY-RESIDENCE,Sweet Auburn,M,-84.37186,33.75275
01/03/2015,05:21:00                      ,2220 LAKEWOOD AVE ,AUTO THEFT,Lakewood Heights,Y,-84.39208,33.69935
01/03/2015,06:45:00                      ,80 JESSE HILL JR DR NE,LARCENY-FROM VEHICLE,Downtown,M,-84.38034,33.75657
01/03/2015,07:00:00                      ,2057 COUNTY LINE RD SW,RAPE,NULL,P,-84.53625,33.69895
01/03/2015,08:00:00                      ,144 PONCE DE LEON AVE NE,LARCENY-NON VEHICLE,Midtown,E,-84.38249,33.77255
01/03/2015,08:00:00                      ,1124 DEKALB AVE NE,LARCENY-FROM VEHICLE,Inman Park,N,-84.35128,33.75951
01/03/2015,08:00:00                      ,699 FORMWALT ST SW,BURGLARY-RESIDENCE,Mechanicsville,V,-84.39609,33.73583
01/03/2015,08:00:00                      ,2788 FORREST HILLS DR SW @DAYS INN SOUTH,AGG ASSAULT,Hammond Park,X,-84.39898,33.67892
01/03/2015,08:04:00                      ,2159 FAIRBURN RD SW,AUTO THEFT,Kings Forest,P,-84.51087,33.69546
01/03/2015,08:50:00                      ,800 CHEROKEE AVE SE,LARCENY-FROM VEHICLE,Grant Park,W,-84.37352,33.73267
01/03/2015,09:46:00                      ,2636 BUTNER RD SW,BURGLARY-RESIDENCE,Butner/Tell,P,-84.53434,33.68264
01/03/2015,10:30:00                      ,2022 BAKER RD NW,AUTO THEFT,Grove Park,J,-84.45312,33.76968
01/03/2015,10:45:00                      ,2099 FAIRBURN RD SW,AUTO THEFT,Kings Forest,P,-84.51048,33.69783
01/03/2015,10:50:00                      ,1690 MELROSE DR SW,LARCENY-FROM VEHICLE,Sylvan Hills,X,-84.42093,33.70894
01/03/2015,12:00:00                      ,1829 WILLIAM PL NW,BURGLARY-RESIDENCE,Hills Park,D,-84.4481,33.80524
01/03/2015,12:00:00                      ,3316 HAMILTON BLVD SE,BURGLARY-NONRES,Glenrose Heights,Z,-84.38538,33.66283
01/03/2015,12:00:00                      ,585 WELLS ST SW,LARCENY-FROM VEHICLE,Pittsburgh,V,-84.40742,33.74023
01/03/2015,12:21:00                      ,1801 HOWELL MILL RD NW,LARCENY-NON VEHICLE,Berkeley Park,D,-84.41278,33.80388
01/03/2015,12:34:00                      ,815 SIDNEY MARCUS BLVD NE,LARCENY-FROM VEHICLE,Lindbergh/Morosgo,B,-84.36101,33.82414
01/03/2015,12:40:00                      ,637 LANGSTON DR SW,AUTO THEFT,Perkerson,X,-84.40935,33.69551
01/03/2015,12:50:00                      ,1866 BRANDYWINE ST SW,AGG ASSAULT,Sylvan Hills,X,-84.41681,33.70392
01/03/2015,13:30:00                      ,248 OAKLAND AVE SE @OAKLAND CEMETARY,LARCENY-FROM VEHICLE,Grant Park,W,-84.37498,33.7478
01/03/2015,14:10:00                      ,1250 CAROLINE ST NE,LARCENY-NON VEHICLE,Edgewood,O,-84.34709,33.7585
01/03/2015,14:30:00                      ,1469 LEE ST SW,LARCENY-FROM VEHICLE,Fort McPherson,S,-84.42634,33.7141
01/03/2015,14:45:00                      ,2539 PIEDMONT RD NE,LARCENY-NON VEHICLE,Lindbergh/Morosgo,B,-84.36328,33.82403
01/03/2015,14:45:00                      ,2237 CASCADE RD SW,LARCENY-FROM VEHICLE,Cascade Avenue/Road,S,-84.46129,33.72282
01/03/2015,15:00:00                      ,2277 PEACHTREE RD NE,LARCENY-FROM VEHICLE,NULL,E,-84.39051,33.81595
01/03/2015,15:00:00                      ,630 CENTER HILL AVE NW,AUTO THEFT,Center Hill,J,-84.46451,33.77226
01/03/2015,15:00:00                      ,245 AMAL DR SW,LARCENY-FROM VEHICLE,Betmar LaVilla,Y,-84.39573,33.70612
01/03/2015,15:15:00                      ,4355 CELEBRATION DR SW,BURGLARY-RESIDENCE,NULL,P,-84.52663,33.72209
